asset_id,gz2_class
58957.jpg,1
193641.jpg,1
55934.jpg,0
158501.jpg,1
110939.jpg,0
249897.jpg,0
71801.jpg,0
87614.jpg,1
113304.jpg,0
47197.jpg,1
187749.jpg,0
24186.jpg,0
162781.jpg,0
154143.jpg,0
185686.jpg,0
92842.jpg,1
140163.jpg,0
170372.jpg,1
12450.jpg,0
103322.jpg,0
125583.jpg,0
31225.jpg,0
216623.jpg,0
65173.jpg,1
238289.jpg,0
144069.jpg,1
97133.jpg,0
233063.jpg,1
142687.jpg,0
229075.jpg,0
144365.jpg,0
7254.jpg,0
57370.jpg,0
140660.jpg,0
178875.jpg,1
98509.jpg,0
70250.jpg,0
282184.jpg,0
70604.jpg,1
128598.jpg,0
36705.jpg,1
100064.jpg,1
41195.jpg,0
127176.jpg,1
192974.jpg,1
189354.jpg,0
238301.jpg,0
142304.jpg,0
99663.jpg,0
84505.jpg,0
21012.jpg,0
7514.jpg,0
11401.jpg,0
68757.jpg,0
176479.jpg,0
167766.jpg,0
192706.jpg,0
105616.jpg,1
172941.jpg,0
27445.jpg,0
149446.jpg,0
207422.jpg,1
225192.jpg,0
156181.jpg,0
211367.jpg,0
69541.jpg,0
177979.jpg,0
83396.jpg,0
43818.jpg,1
125290.jpg,0
88972.jpg,0
139181.jpg,0
183905.jpg,1
203838.jpg,0
6558.jpg,1
143012.jpg,0
233088.jpg,0
93683.jpg,1
76054.jpg,0
178588.jpg,0
83385.jpg,1
155034.jpg,0
103622.jpg,0
1596.jpg,0
230592.jpg,0
287217.jpg,1
36981.jpg,0
176940.jpg,1
18331.jpg,1
206127.jpg,0
244813.jpg,1
151792.jpg,1
189159.jpg,0
97141.jpg,1
172445.jpg,1
150128.jpg,0
163363.jpg,0
87294.jpg,1
96081.jpg,0
80825.jpg,0
231661.jpg,1
87080.jpg,0
67866.jpg,0
177115.jpg,0
189350.jpg,1
231653.jpg,0
152414.jpg,0
9328.jpg,0
40486.jpg,0
157533.jpg,0
126347.jpg,0
248075.jpg,1
69050.jpg,1
226180.jpg,0
205445.jpg,0
134649.jpg,0
137506.jpg,1
37026.jpg,0
138432.jpg,0
70197.jpg,0
139134.jpg,0
239793.jpg,0
161580.jpg,1
154135.jpg,1
136017.jpg,0
124634.jpg,0
208114.jpg,1
204876.jpg,0
136823.jpg,1
167729.jpg,1
218331.jpg,0
71757.jpg,1
286027.jpg,0
92010.jpg,1
211635.jpg,0
137698.jpg,0
274432.jpg,1
232392.jpg,1
126047.jpg,0
41540.jpg,0
103107.jpg,0
178578.jpg,0
101658.jpg,0
138152.jpg,0
229669.jpg,0
281678.jpg,0
13404.jpg,1
10385.jpg,0
85101.jpg,1
291236.jpg,1
178577.jpg,0
32010.jpg,0
194488.jpg,0
244010.jpg,0
121982.jpg,0
21008.jpg,0
253616.jpg,1
234703.jpg,0
238441.jpg,0
276907.jpg,0
99111.jpg,0
7576.jpg,0
164615.jpg,1
106609.jpg,1
84811.jpg,1
151928.jpg,0
105598.jpg,0
124060.jpg,0
125472.jpg,1
152386.jpg,0
271666.jpg,1
87117.jpg,0
216944.jpg,0
69976.jpg,0
203825.jpg,0
63680.jpg,0
141866.jpg,1
65390.jpg,0
162921.jpg,0
95892.jpg,0
127600.jpg,0
141404.jpg,1
216482.jpg,0
166948.jpg,0
38031.jpg,1
39426.jpg,1
119356.jpg,1
143906.jpg,0
91314.jpg,1
200671.jpg,0
72327.jpg,1
81756.jpg,1
206856.jpg,1
240598.jpg,0
17583.jpg,0
134455.jpg,1
240793.jpg,0
222523.jpg,0
47717.jpg,1
36794.jpg,1
82048.jpg,0
130334.jpg,1
141880.jpg,0
31045.jpg,1
26015.jpg,1
136369.jpg,0
136555.jpg,1
29967.jpg,0
176812.jpg,1
164335.jpg,0
7515.jpg,0
201630.jpg,0
7382.jpg,0
178723.jpg,0
67220.jpg,0
219100.jpg,0
190799.jpg,0
37907.jpg,0
71798.jpg,1
293451.jpg,0
11859.jpg,1
33900.jpg,1
89534.jpg,0
11905.jpg,0
126869.jpg,1
294040.jpg,0
33725.jpg,0
127495.jpg,1
105878.jpg,1
175815.jpg,1
45148.jpg,1
164046.jpg,0
93392.jpg,1
150113.jpg,1
36685.jpg,0
100538.jpg,1
122030.jpg,1
97431.jpg,1
92885.jpg,1
284453.jpg,0
196481.jpg,0
142875.jpg,0
116062.jpg,0
166898.jpg,1
99192.jpg,1
58286.jpg,1
94083.jpg,1
91538.jpg,0
66412.jpg,0
138445.jpg,1
204481.jpg,1
20216.jpg,1
7847.jpg,0
132903.jpg,0
24807.jpg,0
152195.jpg,0
137220.jpg,1
68528.jpg,0
10280.jpg,0
9306.jpg,1
227613.jpg,0
172625.jpg,0
69125.jpg,0
177614.jpg,0
105692.jpg,0
243428.jpg,0
201028.jpg,1
161457.jpg,0
178691.jpg,0
67896.jpg,0
136548.jpg,0
65228.jpg,1
68729.jpg,1
65091.jpg,1
154774.jpg,0
111901.jpg,0
124475.jpg,0
123051.jpg,1
118885.jpg,1
36355.jpg,1
142493.jpg,1
97612.jpg,0
25885.jpg,1
85487.jpg,1
71689.jpg,0
126815.jpg,0
168255.jpg,0
125785.jpg,1
239351.jpg,0
25054.jpg,0
149718.jpg,1
244007.jpg,0
112847.jpg,0
240959.jpg,0
231035.jpg,1
140190.jpg,0
150842.jpg,1
33970.jpg,1
283762.jpg,0
100811.jpg,1
83014.jpg,0
9790.jpg,1
89388.jpg,0
100202.jpg,1
93863.jpg,0
34335.jpg,0
153300.jpg,0
161260.jpg,0
91179.jpg,0
200279.jpg,0
14782.jpg,1
214667.jpg,0
230927.jpg,0
143046.jpg,0
113711.jpg,1
174331.jpg,1
45911.jpg,1
60616.jpg,1
20372.jpg,1
69586.jpg,1
68987.jpg,0
65719.jpg,1
161168.jpg,0
132535.jpg,1
35080.jpg,0
180559.jpg,1
166990.jpg,0
73307.jpg,0
160938.jpg,1
47318.jpg,1
83013.jpg,0
220570.jpg,1
66810.jpg,0
95290.jpg,1
225857.jpg,0
276368.jpg,0
47725.jpg,0
71763.jpg,1
70633.jpg,1
209168.jpg,1
172100.jpg,0
137924.jpg,1
227893.jpg,0
115162.jpg,0
169048.jpg,1
158822.jpg,1
75638.jpg,0
214054.jpg,0
139819.jpg,1
249770.jpg,1
14637.jpg,1
157415.jpg,0
65391.jpg,0
48079.jpg,1
150119.jpg,1
156357.jpg,1
36893.jpg,1
279594.jpg,0
181866.jpg,0
200802.jpg,0
116579.jpg,1
228114.jpg,0
134674.jpg,0
126154.jpg,1
232464.jpg,0
134667.jpg,1
193830.jpg,1
155980.jpg,1
141629.jpg,0
137819.jpg,0
204484.jpg,0
38114.jpg,0
195244.jpg,0
36675.jpg,1
158975.jpg,1
194864.jpg,0
1251.jpg,1
85337.jpg,0
197459.jpg,0
169240.jpg,0
173521.jpg,0
238316.jpg,0
177001.jpg,0
36857.jpg,1
3258.jpg,0
51987.jpg,0
219082.jpg,1
211167.jpg,1
155333.jpg,1
58548.jpg,0
71383.jpg,0
56139.jpg,0
148292.jpg,0
194132.jpg,1
148033.jpg,0
28369.jpg,1
221597.jpg,0
37736.jpg,1
92903.jpg,0
120397.jpg,1
187509.jpg,1
26188.jpg,1
63781.jpg,0
1695.jpg,0
122285.jpg,0
85736.jpg,1
60462.jpg,1
216062.jpg,0
131651.jpg,0
97711.jpg,0
24512.jpg,0
280061.jpg,1
91659.jpg,1
94057.jpg,0
78166.jpg,0
209311.jpg,1
1984.jpg,0
36565.jpg,1
125254.jpg,0
80706.jpg,1
243867.jpg,1
92152.jpg,0
82509.jpg,0
132427.jpg,0
119816.jpg,1
240141.jpg,0
30647.jpg,0
33117.jpg,1
207101.jpg,0
169375.jpg,0
184117.jpg,0
12037.jpg,1
45939.jpg,1
244714.jpg,0
180028.jpg,1
98889.jpg,1
21488.jpg,0
7946.jpg,1
143825.jpg,1
201052.jpg,0
220360.jpg,0
106009.jpg,1
38019.jpg,1
129211.jpg,0
161944.jpg,0
152410.jpg,0
44679.jpg,0
89429.jpg,0
153992.jpg,1
216440.jpg,0
229903.jpg,1
143983.jpg,0
122063.jpg,0
288294.jpg,0
21458.jpg,0
59951.jpg,0
160322.jpg,0
88662.jpg,0
216142.jpg,1
80809.jpg,0
124677.jpg,1
31569.jpg,0
35682.jpg,0
173308.jpg,0
77335.jpg,0
97144.jpg,0
136387.jpg,1
136036.jpg,1
226437.jpg,1
87299.jpg,0
51434.jpg,1
108545.jpg,1
107558.jpg,0
208625.jpg,1
152778.jpg,1
197418.jpg,0
28258.jpg,1
286968.jpg,1
109406.jpg,1
90738.jpg,1
49224.jpg,0
88323.jpg,0
21491.jpg,0
290288.jpg,1
18200.jpg,0
15194.jpg,1
211591.jpg,0
167449.jpg,1
134629.jpg,1
10817.jpg,0
54070.jpg,0
238290.jpg,0
282460.jpg,1
218551.jpg,0
217516.jpg,1
130325.jpg,1
177084.jpg,1
26437.jpg,1
17518.jpg,0
196218.jpg,0
201638.jpg,1
47722.jpg,1
97398.jpg,1
107620.jpg,1
33880.jpg,0
216071.jpg,0
42161.jpg,0
37232.jpg,1
140210.jpg,0
109596.jpg,1
71614.jpg,1
110216.jpg,1
85717.jpg,0
51811.jpg,1
75987.jpg,0
194904.jpg,1
273274.jpg,1
180623.jpg,0
237850.jpg,0
112946.jpg,1
103828.jpg,0
194305.jpg,1
188791.jpg,0
110695.jpg,0
91230.jpg,0
231607.jpg,1
21213.jpg,1
142614.jpg,1
181872.jpg,0
33693.jpg,1
142074.jpg,1
97356.jpg,1
193640.jpg,1
169963.jpg,0
132270.jpg,1
36735.jpg,0
234467.jpg,0
205582.jpg,0
45280.jpg,0
144250.jpg,0
143458.jpg,0
132892.jpg,1
118021.jpg,1
168885.jpg,0
56031.jpg,1
184925.jpg,0
140392.jpg,1
178841.jpg,0
106983.jpg,1
122329.jpg,0
84524.jpg,0
241370.jpg,1
32033.jpg,0
70909.jpg,0
98470.jpg,1
215314.jpg,0
73389.jpg,0
44370.jpg,1
63636.jpg,1
100654.jpg,0
150559.jpg,0
218827.jpg,1
143481.jpg,0
186579.jpg,0
217151.jpg,0
195648.jpg,0
41833.jpg,0
134420.jpg,0
217272.jpg,0
276465.jpg,1
242238.jpg,0
45059.jpg,1
94558.jpg,1
101002.jpg,1
204059.jpg,0
208160.jpg,0
92332.jpg,0
136143.jpg,0
66472.jpg,0
26287.jpg,0
18556.jpg,0
9292.jpg,1
99182.jpg,0
42277.jpg,0
216537.jpg,0
99827.jpg,0
72009.jpg,0
41752.jpg,1
110851.jpg,0
290033.jpg,1
31047.jpg,0
110737.jpg,1
127367.jpg,1
59647.jpg,0
136042.jpg,0
165285.jpg,0
169562.jpg,0
215253.jpg,0
100329.jpg,1
226681.jpg,1
227149.jpg,0
29951.jpg,1
69295.jpg,1
149290.jpg,0
129681.jpg,0
128156.jpg,0
196811.jpg,1
209014.jpg,1
32621.jpg,0
129773.jpg,1
92910.jpg,1
175706.jpg,0
122644.jpg,0
206962.jpg,1
